Repo Name,Default Branch Name,Is Archived,Is Private,Is Empty,Is Fork,Parent Repo Name,Merge Commit Allowed,Squash Merge Allowed,Rebase Merge Allowed,IsAdminEnforced,RequiresCommitSignatures,RestrictsPushes,RequiresApprovingReviews,RequiresStatusChecks,RequiresCodeOwnerReviews,DismissesStaleReviews,RequiresStrictStatusChecks,RequiredApprovingReviewCount,AllowsForcePushes,AllowsDeletions,Branch Protection Pattern
hmrc/agents-external-stubs-frontend,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agents-for-individuals-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agents-mtd-e2e,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agents-mtd-e2e-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agents-onboarding-dashboard,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agents-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agents-service-template.g8,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/akamai-pages,master,false,true,false,false,,true,true,true,false,true,false,true,true,false,true,true,1,false,false,master
hmrc/akamai-served-content,master,true,true,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/akka-rabbitmq,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/akka-xml-parser,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/alert-config,master,false,true,false,false,,true,true,true,true,true,false,true,true,false,true,false,1,false,false,master
hmrc/alert-config-builder,master,false,false,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/alert-simulator,master,false,true,false,false,,true,true,true,false,true,false,true,false,false,true,true,1,false,false,master
hmrc/alpakka,master,false,false,false,true,akka/alpakka,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amibuilder,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amls,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amls-acceptance-test,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amls-art-market-participant-frontend,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amls-contract-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amls-dashboard,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amls-estate-agency-business-frontend,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amls-frontend,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amls-frontend-history,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amls-history,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amls-notification,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amls-performance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amls-prototype,develop,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master,false,true,false,false,false,false,false,true,0,false,false,develop
hmrc/amls-stub,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/amls-supervised-business-register,develop,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master,false,true,false,false,false,false,false,true,0,false,false,develop
hmrc/android-app,master,false,true,false,false,,true,true,true,true,true,false,false,false,false,false,true,0,false,false,master
